year,quarter,sold_price_ind,date,mspus,msptfc,constr_price_ind,cpi,ffr,fmr_1,sold_corrected,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,real_ffr
2007,2,105.93,2007-04-01,242200,221700,108,205.904,5.25,437.46086956521737,2286.4155574435945,2242.5925925925926,2092.8915321438685,2052.777777777778,4.050563607085346,0.02549731913901624
2007,3,102.96,2007-07-01,241800,299300,106.4,207.603,5.26,437.46086956521737,2348.4848484848485,2272.5563909774437,2906.954156954157,2812.96992481203,4.11147433801896,0.02533682075885223
2007,4,102.12,2007-10-01,238400,201200,106.7,209.19,4.76,437.46086956521737,2334.5084214649432,2234.301780693533,1970.231100665883,1885.6607310215556,4.099914428914877,0.022754433768344566
2008,1,98.79,2008-01-01,233900,229200,105.1,212.174,3.94,461.068115942029,2367.648547423828,2225.4995242626073,2320.0728818706343,2180.780209324453,4.386946869096375,0.018569664520629293
2008,2,102.21,2008-04-01,235300,256600,103.8,213.942,2.28,461.068115942029,2302.1230799334703,2266.859344894027,2510.517561882399,2472.061657032755,4.441889363603362,0.010657093978741901
2008,3,100.18,2008-07-01,226500,273400,103.3,219.016,2.01,461.068115942029,2260.930325414254,2192.642787996128,2729.0876422439605,2646.6602129719263,4.46338931212032,0.009177411695949154
2008,4,95.73,2008-10-01,222500,227400,101.4,216.995,0.97,461.068115942029,2324.2452731641074,2194.2800788954632,2375.4308994045755,2242.603550295858,4.54702283966498,0.004470149081776078
2009,1,92.66,2009-01-01,208400,275700,101.7,211.933,0.15,479.6387283236994,2249.0826678178287,2049.1642084562436,2975.393913231168,2710.914454277286,4.7162116845988145,7.077708521089212e-4
2009,2,96.15,2009-04-01,220900,260700,99.2,212.709,0.15,479.6387283236994,2297.451898075923,2226.814516129032,2711.3884555382215,2628.024193548387,4.835067825843744,7.051887790361479e-4
2009,3,94.34,2009-07-01,214300,262500,96.7,214.726,0.16,479.6387283236994,2271.570913716345,2216.132368148914,2782.48887004452,2714.581178903826,4.960069579355733,7.451356612613284e-4
2009,4,96.21,2009-10-01,219000,247000,97.2,216.509,0.12,479.6387283236994,2276.2706579357655,2253.0864197530864,2567.3006963933067,2541.1522633744853,4.934554818145055,5.542494769270562e-4
2010,1,94.81,2010-01-01,222900,222300,97.8,217.488,0.11,490.3982683982684,2351.017825123932,2279.1411042944787,2344.689378757515,2273.006134969325,5.01429722288618,5.057750312660929e-4
2010,2,95.17,2010-04-01,219500,249000,95.7,217.403,0.2,490.3982683982684,2306.399075338867,2293.6259143155694,2616.370705054114,2601.8808777429467,5.124328823388384,9.199505066627416e-4
2010,3,94.24,2010-07-01,224100,220300,96.4,217.605,0.18,490.3982683982684,2377.9711375212223,2324.688796680498,2337.6485568760613,2285.2697095435683,5.087118966787016,8.271868753015786e-4
2010,4,96.28,2010-10-01,224300,250800,96.6,219.035,0.19,490.3982683982684,2329.663481512256,2321.946169772257,2604.902368093062,2596.273291925466,5.07658662938166,8.674412765083206e-4
2011,1,93.7,2011-01-01,226900,216100,97,221.187,0.17,500.80372492836676,2421.5581643543223,2339.175257731959,2306.2966915688366,2227.8350515463917,5.162924999261513,7.685804319422028e-4
2011,2,94.5,2011-04-01,228100,236800,97.5,224.093,0.1,500.80372492836676,2413.7566137566137,2339.4871794871797,2505.8201058201057,2428.7179487179487,5.136448460803762,4.462433007724472e-4
2011,3,93.02,2011-07-01,223500,249000,97.2,225.395,0.07,500.80372492836676,2402.7090948183186,2299.3827160493825,2676.843689529134,2561.7283950617284,5.152301696793897,3.105658954280264e-4
2011,4,93.98,2011-10-01,221100,205000,97.8,226.75,0.07,500.80372492836676,2352.6282187699508,2260.7361963190183,2181.3151734411576,2096.114519427403,5.120692483930131,3.08710033076075e-4
2012,1,94.02,2012-01-01,238400,261000,96.8,227.842,0.08,490.15669515669515,2535.6307168687513,2462.809917355372,2776.0051052967456,2696.280991735537,5.063602222693132,3.511205133381905e-4
2012,2,95.16,2012-04-01,238700,249200,97.4,229.187,0.14,490.15669515669515,2508.4068936527956,2450.718685831622,2618.7473728457335,2558.5215605749486,5.032409601198101,6.10854891420543e-4
2012,3,98.94,2012-07-01,248800,264900,98.4,228.59,0.16,490.15669515669515,2514.6553466747523,2528.4552845528456,2677.3802304426927,2692.0731707317073,4.981267227202186,6.999431296207183e-4
2012,4,99.98,2012-10-01,251700,256400,99.4,231.638,0.16,490.15669515669515,2517.5035007001397,2532.193158953722,2564.512902580516,2579.476861167002,4.9311538748158465,6.907329540058194e-4
2013,1,101.35,2013-01-01,258400,236200,100.9,231.679,0.14,506.1457142857143,2549.580661075481,2560.9514370664024,2330.537740503207,2340.9316154608523,5.016310349709755,6.042843762274527e-4
2013,2,104.7,2013-04-01,268100,293800,103.5,231.797,0.15,506.1457142857143,2560.649474689589,2590.3381642512077,2806.1127029608406,2838.647342995169,4.890296756383713,6.47117952346234e-4
2013,3,104.84,2013-07-01,264800,265600,104,232.9,0.09,506.1457142857143,2525.753529187333,2546.153846153846,2533.3842045020983,2553.846153846154,4.866785714285714,3.8643194504079e-4
2013,4,105.83,2013-10-01,273600,286800,107.5,233.669,0.09,506.1457142857143,2585.278276481149,2545.1162790697676,2710.006614381555,2667.906976744186,4.7083322259136215,3.851602052475938e-4
