year,sold_price_ind,date,mspus,msptfc,constr_price_ind,fmr_1,cpi,hpi,cpi_mspus,sold_corrected,cpi_sold,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,sold_2cor
2020,144.92,2020-10-01,338600,324500,141.8,665.6049165125592,260.249,470.5527450980392,1301.0616755491856,2336.461495997792,0.5568513231559006,2387.87023977433,2239.166436654706,2288.434414668547,4.693969792049077,3.2469827842812538
2021,153.25,2021-01-01,355000,419600,145,686.9123192971085,262.518,481.82960784313724,1352.2882240455895,2316.4763458401303,0.5837694939013707,2448.2758620689656,2738.009787928222,2893.793103448276,4.737326339980059,3.144075744490292
2021,159.33,2021-04-01,367800,374400,150.5,686.9123192971085,266.752,508.87607843137255,1378.808781190019,2308.4164940689134,0.5972963651631478,2443.8538205980067,2349.83995481077,2487.7076411960134,4.5642014571236444,3.1938497359654336
2021,167.29,2021-07-01,395200,368500,156.3,686.9123192971085,271.994,537.0117647058823,1452.973227350603,2362.3647558132584,0.6150503319926174,2528.470889315419,2202.7616713491543,2357.6455534229044,4.3948324971024215,3.2100649453397234
2021,174.58,2021-10-01,414000,361300,162.4,686.9123192971085,276.434,554.0358823529411,1497.6450074882248,2371.4056592965976,0.6315431531577157,2549.2610837438424,2069.538320540726,2224.753694581281,4.229755660696481,3.1735358136839333
2022,181.48,2022-01-01,413500,369100,170.2,712.2022334921567,282.39,572.8276470588236,1464.286979000673,2278.487987657042,0.6426573178936931,2429.494712103408,2033.8329292484023,2168.6251468860164,4.184501959413376,3.1564230056139717
2022,185.39,2022-04-01,437700,451500,176.6,712.2022334921567,288.764,609.8225490196079,1515.7706639331773,2360.9687685419926,0.6420121621808812,2478.4824462061156,2435.406440476833,2556.625141562854,4.03285522928741,3.2894036842311234
2022,186.54,2022-07-01,438000,430600,182.6,712.2022334921567,294.977,619.1354901960784,1484.8615315770382,2348.021871984561,0.6323882879004126,2398.6856516977,2308.352096065187,2358.15991237678,3.9003408186865096,3.3190494810554223
2022,186.74,2022-10-01,442600,383500,191.7,712.2022334921567,297.863,613.6454901960784,1485.9180227151408,2370.1403020242046,0.6269325159553217,2308.8158581116327,2053.657491699689,2000.5216484089724,3.7151916196773955,3.286095588497796
2023,185.65,2023-01-01,429000,378100,188.6,781.997653431625,300.356,617.2172549019608,1428.3050779741375,2310.7998922704014,0.6180998548389245,2274.6553552492046,2036.6280635604633,2004.7720042417816,4.146329021376591,3.3246283592887735
2023,184.15,2023-04-01,418500,388500,183.7,781.997653431625,303.032,636.2980392156862,1381.0422661633095,2272.603855552539,0.6076915969270572,2278.170930865542,2109.693184903611,2114.861186717474,4.256927890210262,3.4553246767075003
2023,198.44,2023-07-01,435400,509000,183.2,781.997653431625,304.628,648.6792156862745,1429.284241763725,2194.11408990123,0.6514174665493652,2376.637554585153,2565.007055029228,2778.3842794759826,4.268546143185726,3.268893447320472
2023,186.35,2023-10-01,423200,421500,190.8,781.997653431625,307.531,648.5852941176471,1376.121431660548,2270.995438690636,0.60595517199892035,2218.029350104822,2261.8728199624366,2209.119496855346,4.098520196182521,3.48046844173677
